"stock","sector","2024TotalRevenue","2024NetIncome","2024TotalAssets","2024CurrentLiabilities","2024TotalLiabilitiesNetMinorityInterest","2024TotalEquityGrossMinorityInterest","2024InvestingCashFlow","2024ShareIssued","2024WorkingCapital","2024CostOfRevenue","2023TotalRevenue","2023NetIncome","2023TotalAssets","2023CurrentLiabilities","2023TotalLiabilitiesNetMinorityInterest","2023TotalEquityGrossMinorityInterest","2023InvestingCashFlow","2023ShareIssued","2023WorkingCapital","2023CostOfRevenue","2022TotalRevenue","2022NetIncome","2022TotalAssets","2022CurrentLiabilities","2022TotalLiabilitiesNetMinorityInterest","2022TotalEquityGrossMinorityInterest","2022InvestingCashFlow","2022ShareIssued","2022WorkingCapital","2022CostOfRevenue","2021TotalRevenue","2021NetIncome","2021TotalAssets","2021CurrentLiabilities","2021TotalLiabilitiesNetMinorityInterest","2021TotalEquityGrossMinorityInterest","2021InvestingCashFlow","2021ShareIssued","2021WorkingCapital","2021CostOfRevenue"
"A1CAP","BROKERAGE HOUSES",41525054515,369886234,8639289910,4413156622,4573452175,4065837735,-103575296,6.75e+08,3884351310,37583075946,27798928095,-179999056,6574073786,2843103868,2877129566,3696944220,-28660906,6.75e+08,3454292511,25145289496,29904761919,652970166,4198457110,2578328327,2710607949,1487849161,-24618618,6.75e+08,1440933093,28031144523,6383982336,107847238,893554478,588233083,600754271,292800207,-26085678,6.75e+08,263275670,6112774232
"ACSEL","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS",679968266,-36154717,810459925,201417664,327828401,482631524,-28491655,10721700,93864904,635190649,644837341,51666541,812667400,257935294,293017168,519650232,-258379063,10721700,19221974,578476607,644000394,65050253,468763829,80874767,141741125,327022704,-13993997,10721700,112889873,564340407,111028520,35058646,128645519,32815289,39088087,89557432,-444789,10721700,43562811,86856445
"ADEL","OTHER MANUFACTURING INDUSTRY",2711979000,18644000,2841933000,826787000,1392847000,1449086000,-65284000,259875000,965551000,1324068000,3265499000,629443000,3798883000,2036566000,2195076000,1603807000,-47785000,259875000,603150000,1740926000,1675122000,-19427000,1906116000,1001884000,1213432000,692684000,-43735000,259875000,154552000,1253242000,486155000,-12698000,708257000,548312000,576992000,131265000,-15102000,259875000,44099000,332290000
"ADESE","REAL ESTATE ACTIVITIES",522759000,582451000,16702509000,1305309000,3375939000,13326570000,-289328000,1.008e+09,2910080000,285111000,484913000,1809639000,14400280000,306435000,2586105000,11814175000,-108400000,1.008e+09,1167149000,239464000,265729000,715842000,7506361000,208317000,922092000,6584269000,-66248000,1.008e+09,947439000,135006000,50189000,384820000,2260691000,62662000,336357000,1924334000,-110911000,1.008e+09,359019000,4309000
"ADGYO","REAL ESTATE INVESTMENT TRUSTS",579819626,1198272143,7642039629,15302936,456524119,7185515510,-1796767867,293700000,2794543929,189517633,708013383,553322369,6645236519,37485596,38009630,6607226889,-4159015,293700000,4811605902,214010777,1109172221,1075578679,2463617985,87799441,88323315,2375294670,18434219,293700000,1366811359,484115770,10617767,53170924,619918701,202415760,247561761,372356940,-173316,293700000,121024172,4326078
"AEFES","FOOD, BEVERAGE AND TOBACCO",231354487000,13117092000,352221005000,107326660000,182453835000,169767170000,-18659749000,592105263,13970047000,140346588000,230829114000,31949541000,382930193000,113333758000,195413791000,187516402000,-15734712000,592105263,16792342000,145645251000,155060052000,15384189000,268244570000,69258939000,133519352000,134725218000,-9722625000,592105263,16567298000,101504427000,39284384000,1068303000,85512881000,24521394000,46180388000,39332493000,-5789734000,592105263,142466000,25142116000
"AFYON","NON-METALLIC MINERAL PRODUCTS",3240221366,429115615,6749637063,738367147,782365713,5967271350,-301006703,4e+08,1326322429,2417992250,3757897637,1432920986,6724198009,928110317,990591333,5733606676,-305022758,4e+08,887276801,2855427569,2455914351,155581093,4265540396,696924749,1175194185,3090346211,-217758359,4e+08,463999257,2043928176,413481737,76886460,800483482,208373709,233806847,566676635,-19649838,4e+08,-11900850,350557471
"AGESA","INSURANCE COMPANIES",24362626962,2871345742,268785843836,NA,263336935040,5448908796,-3599802169,1.8e+08,NA,NA,15897179291,1390038546,165062414715,NA,162021892898,3040521817,-2958508238,1.8e+08,NA,NA,7423635250,874584194,87632574064,NA,85906222762,1726351302,-2012530786,1.8e+08,NA,NA,4838312524,451813551,50215969569,NA,49333914181,882055388,-913905653,1.8e+08,NA,NA
"AGHOL","HOLDING AND INVESTMENT COMPANIES",563782783000,5180552000,543698407000,196323033000,298494161000,245204246000,-32663481000,243534518,3814542000,399676841000,542096480000,28353841000,565676096000,202392838000,306398327000,259277769000,-30172928000,243534518,9617943000,398875472000,319647531000,15639252000,377714512000,128310460000,208282655000,169431857000,-13456918000,243534518,5490045000,236681513000,81368494000,1290783000,112291850000,43556171000,72968948000,39322902000,-6513344000,243534518,-5505209000,57089726000
"AGROT","AGRICULTURE, FORESTRY AND FISHING",2121664932,-317664994,8319127929,506307849,1895553144,6423574785,-405157580,1.2e+09,1670837087,2045528144,841128293,368539143,9202969163,732093794,2016613846,7186355317,-963502009,1.2e+09,2356624149,564546878,877073473,332338323,4200370184,392052797,1129239489,3071130695,-2468310024,1.2e+09,528712765,490345886,206690394,28073007,1041871178,115480012,250208132,791663046,-314023674,1.2e+09,-62033322,175913738
