"mainsector","subsector"
"AGRICULTURE, FORESTRY AND FISHING","CROP AND ANIMAL PRODUCTION HUNTING AND RELATED SERVICE ACTIVITIES"
"AGRICULTURE, FORESTRY AND FISHING","FORESTRY AND LOGGING"
"AGRICULTURE, FORESTRY AND FISHING","FISHING AND FISHERIES"
"MINING AND QUARRYING","MINING OF COAL AND LIGNITE"
"MINING AND QUARRYING","EXTRACTION OF CRUDE PETROLEUM AND NATURAL GAS"
"MINING AND QUARRYING","MINING OF METAL ORES"
"MINING AND QUARRYING","OTHER MINING AND QUARRYING"
"MANUFACTURING","FOOD, BEVERAGE AND TOBACCO"
"MANUFACTURING","TEXTILE, WEARING APPAREL AND LEATHER"
"MANUFACTURING","WOOD PRODUCTS INCLUDING FURNITURE"
"MANUFACTURING","PAPER AND PAPER PRODUCTS PRINTING"
"MANUFACTURING","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"MANUFACTURING","NON-METALLIC MINERAL PRODUCTS"
"MANUFACTURING","BASIC METAL"
"MANUFACTURING","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"MANUFACTURING","OTHER MANUFACTURING INDUSTRY"
"ELECTRICITY GAS AND WATER","ELECTRICITY GAS AND STEAM"
"CONSTRUCTION AND PUBLIC WORKS","CONSTRUCTION AND PUBLIC WORKS"
"WHOLESALE AND RETAIL TRADE","WHOLESALE TRADE"
"WHOLESALE AND RETAIL TRADE","CONSUMER TRADE"
"TRANSPORTATION AND STORAGE","TRANSPORTATION AND STORAGE"
"FINANCIAL INSTITUTIONS","FINANCING COMPANIES"
"FINANCIAL INSTITUTIONS","ASSET MANAGEMENT COMPANIES"
"FINANCIAL INSTITUTIONS","BANKS"
"FINANCIAL INSTITUTIONS","INSURANCE COMPANIES"
"FINANCIAL INSTITUTIONS","FINANCIAL LEASING AND FACTORING COMPANIES"
"FINANCIAL INSTITUTIONS","HOLDING AND INVESTMENT COMPANIES"
"FINANCIAL INSTITUTIONS","OTHER FINANCIAL INSTITUTIONS"
"FINANCIAL INSTITUTIONS","BROKERAGE HOUSES"
"FINANCIAL INSTITUTIONS","REAL ESTATE INVESTMENT TRUSTS"
"FINANCIAL INSTITUTIONS","INVESTMENT TRUSTS"
"FINANCIAL INSTITUTIONS","VENTURE CAPITAL INVESTMENT TRUSTS"
"EDUCATION HEALTH SPORTS AND ENTERTAINMENT SERVICES","SPORTS ENTERTAINMENT AND RECREATIONAL SERVICES"
"EDUCATION HEALTH SPORTS AND ENTERTAINMENT SERVICES","HUMAN HEALTH AND SOCIAL WORK ACTIVITIES"
"EDUCATION HEALTH SPORTS AND ENTERTAINMENT SERVICES","CREATIVE ARTS AND ENTERTAINMENT ACTIVITIES"
"EDUCATION HEALTH SPORTS AND ENTERTAINMENT SERVICES","SPORTS ACTIVITIES, AMUSEMENT AND RECREATION ACTIVITIES"
"TECHNOLOGY","INFORMATION TECHNOLOGY"
"TECHNOLOGY","DEFENSE"
"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","LEGAL AND ACCOUNTING ACTIVITIES"
"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","ACTIVITIES OF HEAD OFFICES; MANAGEMENT CONSULTANCY ACTIVITIES"
"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","ARCHITECTURAL AND ENGINEERING ACTIVITIES; TECHNICAL TESTING AND ANALYSIS"
"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","SCIENTIFIC RESEARCH AND DEVELOPMENT"
"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","ADVERTISING AND MARKET RESEARCH"
"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","OTHER PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","VETERINARY ACTIVITIES"
"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES","RENTAL AND LEASING ACTIVITIES"
"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES","EMPLOYMENT ACTIVITIES"
"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES","TRAVEL AGENCY, TOUR OPERATOR, RESERVATION SERVICE AND RELATED ACTIVITIES"
"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES","SECURITY AND INVESTIGATION ACTIVITIES"
"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES","SERVICES TO BUILDINGS AND LANDSCAPE ACTIVITIES"
"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES","OFFICE ADMINISTRATIVE, OFFICE SUPPORT AND OTHER BUSINESS SUPPORT ACTIVITIES"
"REAL ESTATE ACTIVITIES","REAL ESTATE ACTIVITIES"
"HOTELS AND RESTAURANTS","ACCOMODATION"
"HOTELS AND RESTAURANTS","FOOD AND BEVERAGE SERVICES"
"INFORMATION AND COMMUNICATION","INFORMATION SERVICE ACTIVITIES"
"INFORMATION AND COMMUNICATION","PUBLISHING ACTIVITIES"
"INFORMATION AND COMMUNICATION","TELECOMMUNICATIONS"
