"stock","before","after"
"A1CAP",6.4,4.8
"ACSEL",155.1,107
"ADEL",51.4,31.6
"ADESE",2.8,1.9
"ADGYO",35.6,30.2
"AEFES",149.9,167.4
"AFYON",11.8,13.9
"AGESA",62.5,133
"AGHOL",251.4,293
"AGROT",37.2,8.8
"AGYO",9.5,6.4
"AHGAZ",13.3,21
"AHSGY",NA,NA
"AKBNK",39.1,57.7
"AKCNS",162.4,168.2
"AKENR",5.9,10.5
"AKFGY",2.4,1.9
"AKFIS",NA,NA
"AKFYE",25.8,17.1
"AKGRT",6.4,6.6
"AKMGY",209.7,217
"AKSA",7.7,11
"AKSEN",36.9,34.3
"AKSGY",5.4,6.7
"AKSUE",14.2,17.1
"AKYHO",5.2,3.4
"ALARK",120,90.2
"ALBRK",4.4,6.3
"ALCAR",1416.8,1077.3
"ALCTL",124.3,108.5
"ALFAS",106.1,51.6
"ALGYO",22.5,18.4
"ALKA",8.3,7.1
"ALKIM",20,15.7
"ALKLC",NA,NA
"ALTNY",NA,NA
"ALVES",NA,NA
"ANELE",15.3,15.2
"ANGEN",13.8,11.8
"ANHYT",44.5,90.8
"ANSGR",66.5,96
"ARASE",67.2,42.8
"ARCLK",156.9,135.9
"ARDYZ",52.6,28
"ARENA",48.3,43
"ARMGD",NA,NA
"ARSAN",13.6,19.7
"ARTMS",NA,NA
"ARZUM",NA,3.6
"ASELS",56.5,113.6
"ASGYO",15.9,10.6
"ASTOR",116.9,107.7
"ASUZU",71.3,56.8
"ATAGY",11.6,10.7
"ATAKP",54,38.6
"ATATP",137.6,87.8
"ATEKS",156.5,108.4
"ATLAS",5.3,5.1
"ATSYH",49.3,47.4
"AVGYO",8.8,8.5
"AVHOL",55.4,37.1
"AVOD",3.7,2.6
"AVPGY",44.2,56.5
"AVTUR",10.2,10.7
"AYCES",1063.4,451.1
"AYDEM",27.5,19.3
"AYEN",25,25.8
"AYES",8.3,9
"AYGAZ",136.4,143.8
"AZTEK",132.7,39.6
"BAGFS",28.5,21.7
"BAHKM",NA,NA
"BAKAB",44.2,31.2
"BALAT",24.3,60.2
"BANVT",148.5,264.4
"BARMA",NA,NA
"BASCM",12.7,10.6
"BASGZ",19.5,28.1
"BAYRK",43.6,17.7
"BEGYO",5.1,14.6
"BERA",16.2,16.6
"BEYAZ",22.8,22.3
"BFREN",1084.8,661.3
"BIENY",46.8,33.6
"BIGCH",31.1,27.9
"BIMAS",377.5,476.1
"BINBN",NA,NA
"BINHO",599.8,248.7
"BIOEN",20.4,18.2
"BIZIM",45,25.8
"BJKAS",63.9,3.3
"BLCYT",17.8,15.4
"BMSCH",8.6,12.3
"BMSTL",18.1,42.2
"BNTAS",12.9,5.8
"BOBET",35.5,19.9
"BORLS",36.6,89.5
"BORSK",NA,NA
"BOSSA",5.5,6.6
"BRISA",110.9,85
"BRKO",4,11.7
"BRKSN",13.7,7.6
"BRKVY",146.1,57.9
"BRLSM",31.5,15.8
"BRMEN",5.1,5.3
"BRSAN",672.2,378.4
"BRYAT",3356.4,1863.9
"BSOKE",16.3,13.8
"BTCIM",3.8,4.3
"BUCIM",8.3,7.7
"BURCE",18.1,15.6
"BURVA",132.7,107.3
"BVSAN",110.9,108.9
"BYDNR",32.6,20.1
"CANTE",2.5,1.5
"CASA",101.7,66.2
"CATES",73.4,29.4
"CCOLA",601.8,52.2
"CELHA",34.3,20.6
"CEMAS",5,3.5
"CEMTS",11.6,11.1
"CEMZY",NA,NA
"CEOEM",22.3,33.6
"CGCAM",NA,NA
"CIMSA",34.3,48.6
"CLEBI",1139.5,2572.7
"CMBTN",3699.2,2401.4
"CMENT",403.1,387.7
"CONSE",6.5,2.7
"COSMO",140.7,108.2
"CRDFA",7.4,7.8
"CRFSA",141.4,85.7
"CUSAN",25.6,22.2
"CVKMD",13.1,10.3
"CWENE",38.6,17.3
"DAGHL",15.7,65.1
"DAGI",2.7,6
"DAPGM",5.2,7.7
"DARDL",7.6,4.9
"DCTTR",NA,NA
"DENGE",3,2.9
"DERHL",12.4,50.7
"DERIM",22.3,36.9
"DESA",11.8,8.8
"DESPC",48.8,46.1
"DEVA",81.1,61.4
"DGATE",40.6,52.3
"DGGYO",35.9,35.9
"DGNMO",11.1,6.8
"DIRIT",16.7,22.4
"DITAS",17.6,13.4
"DMRGD",16.8,14.6
"DMSAS",7.4,7.4
"DNISI",NA,24.8
"DOAS",212.1,195.9
"DOBUR",112,214
"DOCO",4693.6,6801.5
"DOFER",49,26.3
"DOGUB",22.2,16.7
"DOHOL",13.5,15.4
"DOKTA",37.5,20.5
"DURDO",3.7,3.6
"DURKN",NA,NA
"DYOBY",10.5,21.9
"DZGYO",5.2,7.6
"EBEBK",63.7,50.2
"ECILC",49.9,42.5
"ECZYT",255.6,177.2
"EDATA",8.8,4.1
"EDIP",17.9,20.2
"EFORC",NA,NA
"EGEEN",14572.6,9269.4
"EGEGY",NA,NA
"EGEPO",5.2,6.1
"EGGUB",47.8,62.9
"EGPRO",27.5,23.5
"EGSER",4.2,3.3
"EKGYO",10.7,13.5
"EKIZ",57.3,57.9
"EKOS",60.2,20.4
"EKSUN",8.2,5.7
"ELITE",54.9,40.7
"EMKEL",17.7,21.1
"EMNIS",159,328.9
"ENERY",2.2,3.6
"ENJSA",53.9,58.1
"ENKAI",36.2,57.4
"ENSRI",37.4,18.8
"ENTRA",NA,NA
"EPLAS",6.6,5
"ERBOS",250.3,166
"ERCB",165.5,85.5
"EREGL",23,22.6
"ERSU",32.3,15.6
"ESCAR",19.8,51.1
"ESCOM",5.9,2.7
"ESEN",20.5,36.6
"ETILR",5.4,8.9
"ETYAT",14.3,10.1
"EUHOL",3.5,14
"EUKYO",20.2,11.5
"EUPWR",58.9,31.2
"EUREN",17.8,4.7
"EUYO",16.8,10.7
"EYGYO",3.1,2.3
"FADE",19.7,13.5
"FENER",101.6,49.2
"FLAP",13.2,7.7
"FMIZP",339.2,308.4
"FONET",23.3,15
"FORMT",2.9,5.7
"FORTE",86.8,69.7
"FRIGO",8.3,7.7
"FROTO",82.2,99.6
"FZLGY",14.4,32.6
"GARAN",59.7,117.2
"GARFA",30.1,17.3
"GEDIK",7.5,7.7
"GEDZA",27.3,28.5
"GENIL",67.1,141.7
"GENTS",9.1,17.6
"GEREL",10.2,8.7
"GESAN",79.2,46.5
"GIPTA",42.4,56.9
"GLBMD",14,10.3
"GLCVY",42.5,49.2
"GLRMK",NA,NA
"GLRYH",4.5,2.9
"GLYHO",4.2,7.1
"GMTAS",8.3,12.3
"GOKNR",24.3,22.8
"GOLTS",301.8,409
"GOODY",22.6,15.7
"GOZDE",26,20.4
"GRNYO",8.8,8.5
"GRSEL",78.5,241
"GRTHO",63.6,336.6
"GSDDE",9.7,8.2
"GSDHO",4.3,4
"GSRAY",7.2,1.9
"GUBRF",180.6,273.8
"GUNDG",NA,NA
"GWIND",26.5,26.5
"GZNMI",39.2,101.1
"HALKB",14.1,20.4
"HATEK",15.3,26
"HATSN",81.7,39.6
"HDFGS",2.1,1.6
"HEDEF",5.7,6.6
"HEKTS",19.1,3.3
"HKTM",23.1,12.8
"HLGYO",2.8,2.7
"HOROZ",NA,NA
"HRKET",NA,NA
"HTTBT",29.5,44.3
"HUBVC",3.4,1.8
"HUNER",5.1,3.8
"HURGZ",4.8,4.5
"ICBCT",17,12.9
"ICUGS",9.1,14.2
"IDGYO",6.1,2.5
"IEYHO",5.7,9.8
"IHAAS",14.4,19.8
"IHEVA",2.9,2.2
"IHGZT",1.4,1.4
"IHLAS",1.1,2.5
"IHLGM",1.5,1.7
"IHYAY",3.2,2.3
"IMASM",4.2,2.5
"INDES",9.1,7.3
"INFO",3.6,2.1
"INGRM",687.3,402.9
"INTEK",NA,NA
"INTEM",317.9,202.4
"INVEO",11.4,6.6
"INVES",NA,NA
"IPEKE",40.1,60
"ISBIR",121.4,85.3
"ISCTR",10.4,13.1
"ISDMR",38.6,36.8
"ISFIN",11.5,13.6
"ISGSY",27.8,34.5
"ISGYO",17.6,16.9
"ISKPL",8.9,22.7
"ISMEN",31.7,40.1
"ISSEN",11.7,8
"ISYAT",11.9,8
"IZENR",7.7,5.5
"IZFAS",17.3,72.8
"IZINV",46.8,39.8
"IZMDC",6.6,4.9
"JANTS",24.7,23.1
"KAPLM",136.2,184.4
"KAREL",16,8.7
"KARSN",10.3,11
"KARTN",106.7,90.1
"KATMR",2.5,2.2
"KAYSE",35.3,18
"KBORU",145.4,67.2
"KCAER",19.1,11.7
"KCHOL",160.5,154.3
"KENT",740.1,863.9
"KERVN",1.6,2.1
"KERVT",12.6,15.6
"KFEIN",156.8,114.7
"KGYO",0.3,0.3
"KIMMR",10,8.9
