"stock","mainsector","subsector"
"A1CAP","FINANCIAL INSTITUTIONS","BROKERAGE HOUSES"
"A1YEN","ELECTRICITY GAS AND WATER","ELECTRICITY GAS AND STEAM"
"ACSEL","MANUFACTURING","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"ADEL","MANUFACTURING","OTHER MANUFACTURING INDUSTRY"
"ADESE","REAL ESTATE ACTIVITIES","REAL ESTATE ACTIVITIES"
"ADGYO","FINANCIAL INSTITUTIONS","REAL ESTATE INVESTMENT TRUSTS"
"AEFES","MANUFACTURING","FOOD, BEVERAGE AND TOBACCO"
"AFYON","MANUFACTURING","NON-METALLIC MINERAL PRODUCTS"
"AGESA","FINANCIAL INSTITUTIONS","INSURANCE COMPANIES"
"AGHOL","FINANCIAL INSTITUTIONS","HOLDING AND INVESTMENT COMPANIES"
"AGROT","AGRICULTURE, FORESTRY AND FISHING","CROP AND ANIMAL PRODUCTION HUNTING AND RELATED SERVICE ACTIVITIES"
"AGYO","FINANCIAL INSTITUTIONS","REAL ESTATE INVESTMENT TRUSTS"
"AHGAZ","ELECTRICITY GAS AND WATER","ELECTRICITY GAS AND STEAM"
"AHSGY","FINANCIAL INSTITUTIONS","REAL ESTATE INVESTMENT TRUSTS"
"AKBNK","FINANCIAL INSTITUTIONS","BANKS"
"AKCNS","MANUFACTURING","NON-METALLIC MINERAL PRODUCTS"
"AKENR","ELECTRICITY GAS AND WATER","ELECTRICITY GAS AND STEAM"
"AKFGY","FINANCIAL INSTITUTIONS","REAL ESTATE INVESTMENT TRUSTS"
"AKFIS","CONSTRUCTION AND PUBLIC WORKS","CONSTRUCTION AND PUBLIC WORKS"
"AKFYE","ELECTRICITY GAS AND WATER","ELECTRICITY GAS AND STEAM"
"AKGRT","FINANCIAL INSTITUTIONS","INSURANCE COMPANIES"
"AKMGY","FINANCIAL INSTITUTIONS","REAL ESTATE INVESTMENT TRUSTS"
"AKSA","MANUFACTURING","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"AKSEN","ELECTRICITY GAS AND WATER","ELECTRICITY GAS AND STEAM"
"AKSGY","FINANCIAL INSTITUTIONS","REAL ESTATE INVESTMENT TRUSTS"
"AKSUE","ELECTRICITY GAS AND WATER","ELECTRICITY GAS AND STEAM"
"AKYHO","FINANCIAL INSTITUTIONS","HOLDING AND INVESTMENT COMPANIES"
"ALARK","FINANCIAL INSTITUTIONS","HOLDING AND INVESTMENT COMPANIES"
