"stock","mainsector"
"AGROT","AGRICULTURE, FORESTRY AND FISHING"
"IZINV","AGRICULTURE, FORESTRY AND FISHING"
"KNFRT","AGRICULTURE, FORESTRY AND FISHING"
"OZSUB","AGRICULTURE, FORESTRY AND FISHING"
"YAPRK","AGRICULTURE, FORESTRY AND FISHING"
"CVKMD","MINING AND QUARRYING"
"IPEKE","MINING AND QUARRYING"
"KOZAL","MINING AND QUARRYING"
"KOZAA","MINING AND QUARRYING"
"PRKME","MINING AND QUARRYING"
"AVOD","MANUFACTURING"
"ACSEL","MANUFACTURING"
"ADEL","MANUFACTURING"
"AFYON","MANUFACTURING"
"AKCNS","MANUFACTURING"
"ATEKS","MANUFACTURING"
"AKSA","MANUFACTURING"
"ALCAR","MANUFACTURING"
"ALKIM","MANUFACTURING"
"ALKA","MANUFACTURING"
"ALKLC","MANUFACTURING"
"ALVES","MANUFACTURING"
"AEFES","MANUFACTURING"
"ASUZU","MANUFACTURING"
"ANGEN","MANUFACTURING"
"ARCLK","MANUFACTURING"
"ARMGD","MANUFACTURING"
"ARSAN","MANUFACTURING"
"ARTMS","MANUFACTURING"
"ASTOR","MANUFACTURING"
"ATAKP","MANUFACTURING"
"AYES","MANUFACTURING"
"AYGAZ","MANUFACTURING"
"BAGFS","MANUFACTURING"
"BAHKM","MANUFACTURING"
"BAKAB","MANUFACTURING"
"BALAT","MANUFACTURING"
"BNTAS","MANUFACTURING"
"BANVT","MANUFACTURING"
"BARMA","MANUFACTURING"
"BASCM","MANUFACTURING"
"BTCIM","MANUFACTURING"
"BSOKE","MANUFACTURING"
"BAYRK","MANUFACTURING"
"BRKSN","MANUFACTURING"
"KERVT","MANUFACTURING"
"BIENY","MANUFACTURING"
"BLCYT","MANUFACTURING"
"BRKO","MANUFACTURING"
"BRMEN","MANUFACTURING"
"BMSTL","MANUFACTURING"
"BMSCH","MANUFACTURING"
"BOBET","MANUFACTURING"
"BORSK","MANUFACTURING"
"BRSAN","MANUFACTURING"
"BFREN","MANUFACTURING"
"BOSSA","MANUFACTURING"
"BRISA","MANUFACTURING"
"BVSAN","MANUFACTURING"
"BURCE","MANUFACTURING"
"BURVA","MANUFACTURING"
"BUCIM","MANUFACTURING"
"CGCAM","MANUFACTURING"
"CELHA","MANUFACTURING"
"CEMAS","MANUFACTURING"
"CEMTS","MANUFACTURING"
"CEMZY","MANUFACTURING"
"CMBTN","MANUFACTURING"
"CMENT","MANUFACTURING"
"CIMSA","MANUFACTURING"
"CCOLA","MANUFACTURING"
"CUSAN","MANUFACTURING"
"DAGI","MANUFACTURING"
"DARDL","MANUFACTURING"
"DMSAS","MANUFACTURING"
"DERIM","MANUFACTURING"
"DESA","MANUFACTURING"
"DEVA","MANUFACTURING"
"DNISI","MANUFACTURING"
"DIRIT","MANUFACTURING"
"DITAS","MANUFACTURING"
"DMRGD","MANUFACTURING"
"DOFER","MANUFACTURING"
"DGNMO","MANUFACTURING"
"DOGUB","MANUFACTURING"
"DOKTA","MANUFACTURING"
"DURDO","MANUFACTURING"
"DURKN","MANUFACTURING"
"DYOBY","MANUFACTURING"
"EFORC","MANUFACTURING"
"EGEEN","MANUFACTURING"
"EGGUB","MANUFACTURING"
"EPLAS","MANUFACTURING"
"EGPRO","MANUFACTURING"
"EGSER","MANUFACTURING"
"EKIZ","MANUFACTURING"
"EKOS","MANUFACTURING"
"EKSUN","MANUFACTURING"
"ELITE","MANUFACTURING"
"EMKEL","MANUFACTURING"
"EMNIS","MANUFACTURING"
"ENSRI","MANUFACTURING"
"ERBOS","MANUFACTURING"
"ERCB","MANUFACTURING"
"EREGL","MANUFACTURING"
"ERSU","MANUFACTURING"
"TEZOL","MANUFACTURING"
"EUREN","MANUFACTURING"
"EUPWR","MANUFACTURING"
"FADE","MANUFACTURING"
"FMIZP","MANUFACTURING"
"FROTO","MANUFACTURING"
"FORMT","MANUFACTURING"
"FRIGO","MANUFACTURING"
"GEDZA","MANUFACTURING"
"GENTS","MANUFACTURING"
"GEREL","MANUFACTURING"
"GIPTA","MANUFACTURING"
"GOKNR","MANUFACTURING"
"GOLTS","MANUFACTURING"
"GOODY","MANUFACTURING"
"GUBRF","MANUFACTURING"
"GUNDG","MANUFACTURING"
"HATEK","MANUFACTURING"
"HATSN","MANUFACTURING"
"HEKTS","MANUFACTURING"
"HKTM","MANUFACTURING"
"IHEVA","MANUFACTURING"
"IMASM","MANUFACTURING"
"ISSEN","MANUFACTURING"
"ISKPL","MANUFACTURING"
"ISDMR","MANUFACTURING"
"IZMDC","MANUFACTURING"
"IZFAS","MANUFACTURING"
"JANTS","MANUFACTURING"
"KLKIM","MANUFACTURING"
"KLSER","MANUFACTURING"
"KAPLM","MANUFACTURING"
"KRDMD","MANUFACTURING"
"KARSN","MANUFACTURING"
