"stock","sector"
"A1CAP","BROKERAGE HOUSES"
"ACSEL","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"ADEL","OTHER MANUFACTURING INDUSTRY"
"ADESE","REAL ESTATE ACTIVITIES"
"ADGYO","REAL ESTATE INVESTMENT TRUSTS"
"AEFES","FOOD, BEVERAGE AND TOBACCO"
"AFYON","NON-METALLIC MINERAL PRODUCTS"
"AGESA","INSURANCE COMPANIES"
"AGHOL","HOLDING AND INVESTMENT COMPANIES"
"AGROT","AGRICULTURE, FORESTRY AND FISHING"
"AGYO","REAL ESTATE INVESTMENT TRUSTS"
"AHGAZ","ELECTRICITY GAS AND WATER"
"AHSGY","REAL ESTATE INVESTMENT TRUSTS"
"AKBNK","BANKS"
"AKCNS","NON-METALLIC MINERAL PRODUCTS"
"AKENR","ELECTRICITY GAS AND WATER"
"AKFGY","REAL ESTATE INVESTMENT TRUSTS"
"AKFIS","CONSTRUCTION AND PUBLIC WORKS"
"AKFYE","ELECTRICITY GAS AND WATER"
"AKGRT","INSURANCE COMPANIES"
"AKMGY","REAL ESTATE INVESTMENT TRUSTS"
"AKSA","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"AKSEN","ELECTRICITY GAS AND WATER"
"AKSGY","REAL ESTATE INVESTMENT TRUSTS"
"AKSUE","ELECTRICITY GAS AND WATER"
"AKYHO","HOLDING AND INVESTMENT COMPANIES"
"ALARK","HOLDING AND INVESTMENT COMPANIES"
"ALBRK","BANKS"
"ALCAR","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"ALCTL","TECHNOLOGY"
"ALFAS","ELECTRICITY GAS AND WATER"
"ALGYO","REAL ESTATE INVESTMENT TRUSTS"
"ALKA","PAPER AND PAPER PRODUCTS PRINTING"
"ALKIM","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"ALKLC","FOOD, BEVERAGE AND TOBACCO"
"ALTNY","TECHNOLOGY"
"ALVES","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"ANELE","CONSTRUCTION AND PUBLIC WORKS"
"ANGEN","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"ANHYT","INSURANCE COMPANIES"
"ANSGR","INSURANCE COMPANIES"
"ARASE","ELECTRICITY GAS AND WATER"
"ARCLK","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"ARDYZ","TECHNOLOGY"
"ARENA","TECHNOLOGY"
"ARMGD","FOOD, BEVERAGE AND TOBACCO"
"ARSAN","TEXTILE, WEARING APPAREL AND LEATHER"
"ARTMS","TEXTILE, WEARING APPAREL AND LEATHER"
"ARZUM","WHOLESALE AND RETAIL TRADE"
"ASELS","TECHNOLOGY"
"ASGYO","REAL ESTATE INVESTMENT TRUSTS"
"ASTOR","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"ASUZU","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"ATAGY","REAL ESTATE INVESTMENT TRUSTS"
"ATAKP","FOOD, BEVERAGE AND TOBACCO"
"ATATP","TECHNOLOGY"
"ATEKS","TEXTILE, WEARING APPAREL AND LEATHER"
"ATLAS","INVESTMENT TRUSTS"
"ATSYH","HOLDING AND INVESTMENT COMPANIES"
"AVGYO","REAL ESTATE INVESTMENT TRUSTS"
"AVHOL","HOLDING AND INVESTMENT COMPANIES"
"AVOD","FOOD, BEVERAGE AND TOBACCO"
"AVPGY","REAL ESTATE INVESTMENT TRUSTS"
"AVTUR","HOTELS AND RESTAURANTS"
"AYCES","HOTELS AND RESTAURANTS"
"AYDEM","ELECTRICITY GAS AND WATER"
"AYEN","ELECTRICITY GAS AND WATER"
"AYES","BASIC METAL"
"AYGAZ","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"AZTEK","TECHNOLOGY"
"BAGFS","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"BAHKM","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"BAKAB","PAPER AND PAPER PRODUCTS PRINTING"
"BALAT","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"BANVT","FOOD, BEVERAGE AND TOBACCO"
"BARMA","PAPER AND PAPER PRODUCTS PRINTING"
"BASCM","NON-METALLIC MINERAL PRODUCTS"
"BASGZ","REAL ESTATE INVESTMENT TRUSTS"
"BAYRK","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"BEGYO","REAL ESTATE INVESTMENT TRUSTS"
"BERA","HOLDING AND INVESTMENT COMPANIES"
"BEYAZ","TRANSPORTATION AND STORAGE"
"BFREN","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"BIENY","NON-METALLIC MINERAL PRODUCTS"
"BIGCH","HOTELS AND RESTAURANTS"
"BIMAS","WHOLESALE AND RETAIL TRADE"
"BINBN","TECHNOLOGY"
"BINHO","HOLDING AND INVESTMENT COMPANIES"
"BIOEN","ELECTRICITY GAS AND WATER"
"BIZIM","WHOLESALE AND RETAIL TRADE"
"BJKAS","EDUCATION HEALTH SPORTS AND ENTERTAINMENT SERVICES"
"BLCYT","TEXTILE, WEARING APPAREL AND LEATHER"
"BMSCH","BASIC METAL"
"BMSTL","BASIC METAL"
"BNTAS","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"BOBET","NON-METALLIC MINERAL PRODUCTS"
"BORLS","ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES"
"BORSK","FOOD, BEVERAGE AND TOBACCO"
"BOSSA","TEXTILE, WEARING APPAREL AND LEATHER"
"BRISA","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"BRKO","TEXTILE, WEARING APPAREL AND LEATHER"
"BRKSN","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"BRKVY","ASSET MANAGEMENT COMPANIES"
"BRLSM","CONSTRUCTION AND PUBLIC WORKS"
"BRMEN","TEXTILE, WEARING APPAREL AND LEATHER"
"BRSAN","BASIC METAL"
"BRYAT","HOLDING AND INVESTMENT COMPANIES"
"BSOKE","NON-METALLIC MINERAL PRODUCTS"
"BTCIM","NON-METALLIC MINERAL PRODUCTS"
"BUCIM","NON-METALLIC MINERAL PRODUCTS"
"BURCE","BASIC METAL"
"BURVA","BASIC METAL"
"BVSAN","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"BYDNR","HOTELS AND RESTAURANTS"
"CANTE","ELECTRICITY GAS AND WATER"
"CASA","WHOLESALE AND RETAIL TRADE"
"CATES","ELECTRICITY GAS AND WATER"
"CCOLA","FOOD, BEVERAGE AND TOBACCO"
"CELHA","BASIC METAL"
"CEMAS","BASIC METAL"
"CEMTS","BASIC METAL"
"CEMZY","FOOD, BEVERAGE AND TOBACCO"
"CEOEM","ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES"
"CGCAM","NON-METALLIC MINERAL PRODUCTS"
"CIMSA","NON-METALLIC MINERAL PRODUCTS"
"CLEBI","TRANSPORTATION AND STORAGE"
"CMBTN","NON-METALLIC MINERAL PRODUCTS"
"CMENT","NON-METALLIC MINERAL PRODUCTS"
"CONSE","ELECTRICITY GAS AND WATER"
"COSMO","HOLDING AND INVESTMENT COMPANIES"
"CRDFA","FINANCIAL LEASING AND FACTORING COMPANIES"
"CRFSA","WHOLESALE AND RETAIL TRADE"
"CUSAN","BASIC METAL"
"CVKMD","MINING AND QUARRYING"
"CWENE","ELECTRICITY GAS AND WATER"
"DAGHL","HOLDING AND INVESTMENT COMPANIES"
"DAGI","TEXTILE, WEARING APPAREL AND LEATHER"
"DAPGM","CONSTRUCTION AND PUBLIC WORKS"
"DARDL","FOOD, BEVERAGE AND TOBACCO"
"DCTTR","WHOLESALE AND RETAIL TRADE"
"DENGE","HOLDING AND INVESTMENT COMPANIES"
"DERHL","HOLDING AND INVESTMENT COMPANIES"
"DERIM","TEXTILE, WEARING APPAREL AND LEATHER"
"DESA","TEXTILE, WEARING APPAREL AND LEATHER"
"DESPC","TECHNOLOGY"
"DEVA","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"DGATE","TECHNOLOGY"
"DGGYO","REAL ESTATE INVESTMENT TRUSTS"
"DGNMO","WOOD PRODUCTS INCLUDING FURNITURE"
"DIRIT","TEXTILE, WEARING APPAREL AND LEATHER"
"DITAS","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"DMRGD","FOOD, BEVERAGE AND TOBACCO"
"DMSAS","BASIC METAL"
"DNISI","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"DOAS","WHOLESALE AND RETAIL TRADE"
"DOBUR","INFORMATION AND COMMUNICATION"
"DOCO","HOTELS AND RESTAURANTS"
"DOFER","BASIC METAL"
"DOGUB","NON-METALLIC MINERAL PRODUCTS"
"DOHOL","HOLDING AND INVESTMENT COMPANIES"
"DOKTA","BASIC METAL"
"DURDO","PAPER AND PAPER PRODUCTS PRINTING"
"DURKN","FOOD, BEVERAGE AND TOBACCO"
"DYOBY","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"DZGYO","REAL ESTATE INVESTMENT TRUSTS"
"EBEBK","WHOLESALE AND RETAIL TRADE"
"ECILC","HOLDING AND INVESTMENT COMPANIES"
"ECZYT","HOLDING AND INVESTMENT COMPANIES"
"EDATA","TECHNOLOGY"
"EDIP","CONSTRUCTION AND PUBLIC WORKS"
"EFORC","FOOD, BEVERAGE AND TOBACCO"
"EGEEN","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"EGEGY","REAL ESTATE INVESTMENT TRUSTS"
"EGEPO","EDUCATION HEALTH SPORTS AND ENTERTAINMENT SERVICES"
"EGGUB","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"EGPRO","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"EGSER","NON-METALLIC MINERAL PRODUCTS"
"EKGYO","REAL ESTATE INVESTMENT TRUSTS"
"EKIZ","FOOD, BEVERAGE AND TOBACCO"
"EKOS","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"EKSUN","FOOD, BEVERAGE AND TOBACCO"
"ELITE","FOOD, BEVERAGE AND TOBACCO"
"EMKEL","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"EMNIS","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"ENERY","ELECTRICITY GAS AND WATER"
"ENJSA","ELECTRICITY GAS AND WATER"
"ENKAI","CONSTRUCTION AND PUBLIC WORKS"
"ENSRI","TEXTILE, WEARING APPAREL AND LEATHER"
"ENTRA","ELECTRICITY GAS AND WATER"
"EPLAS","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"ERBOS","BASIC METAL"
"ERCB","BASIC METAL"
"EREGL","BASIC METAL"
"ERSU","FOOD, BEVERAGE AND TOBACCO"
"ESCAR","ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES"
"ESCOM","TECHNOLOGY"
"ESEN","ELECTRICITY GAS AND WATER"
"ETILR","HOTELS AND RESTAURANTS"
"ETYAT","INVESTMENT TRUSTS"
"EUHOL","HOLDING AND INVESTMENT COMPANIES"
"EUKYO","INVESTMENT TRUSTS"
"EUPWR","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"EUREN","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"EUYO","INVESTMENT TRUSTS"
"EYGYO","REAL ESTATE INVESTMENT TRUSTS"
"FADE","FOOD, BEVERAGE AND TOBACCO"
"FENER","EDUCATION HEALTH SPORTS AND ENTERTAINMENT SERVICES"
"FLAP","ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES"
"FMIZP","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"FONET","TECHNOLOGY"
"FORMT","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"FORTE","TECHNOLOGY"
"FRIGO","FOOD, BEVERAGE AND TOBACCO"
"FROTO","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"FZLGY","REAL ESTATE INVESTMENT TRUSTS"
"GARAN","BANKS"
"GARFA","FINANCIAL LEASING AND FACTORING COMPANIES"
"GEDIK","BROKERAGE HOUSES"
"GEDZA","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"GENIL","WHOLESALE AND RETAIL TRADE"
"GENTS","WOOD PRODUCTS INCLUDING FURNITURE"
"GEREL","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"GESAN","CONSTRUCTION AND PUBLIC WORKS"
"GIPTA","PAPER AND PAPER PRODUCTS PRINTING"
"GLBMD","BROKERAGE HOUSES"
"GLCVY","ASSET MANAGEMENT COMPANIES"
"GLRMK","CONSTRUCTION AND PUBLIC WORKS"
"GLRYH","HOLDING AND INVESTMENT COMPANIES"
"GLYHO","HOLDING AND INVESTMENT COMPANIES"
"GMTAS","WHOLESALE AND RETAIL TRADE"
"GOKNR","FOOD, BEVERAGE AND TOBACCO"
"GOLTS","NON-METALLIC MINERAL PRODUCTS"
"GOODY","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"GOZDE","VENTURE CAPITAL INVESTMENT TRUSTS"
"GRNYO","INVESTMENT TRUSTS"
"GRSEL","TRANSPORTATION AND STORAGE"
"GRTHO","HOLDING AND INVESTMENT COMPANIES"
"GSDDE","TRANSPORTATION AND STORAGE"
"GSDHO","HOLDING AND INVESTMENT COMPANIES"
"GSRAY","EDUCATION HEALTH SPORTS AND ENTERTAINMENT SERVICES"
"GUBRF","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"GUNDG","FOOD, BEVERAGE AND TOBACCO"
"GWIND","ELECTRICITY GAS AND WATER"
"GZNMI","ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES"
"HALKB","BANKS"
"HATEK","TEXTILE, WEARING APPAREL AND LEATHER"
"HATSN","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"HDFGS","VENTURE CAPITAL INVESTMENT TRUSTS"
"HEDEF","HOLDING AND INVESTMENT COMPANIES"
"HEKTS","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"HKTM","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"HLGYO","REAL ESTATE INVESTMENT TRUSTS"
"HOROZ","TRANSPORTATION AND STORAGE"
"HRKET","TRANSPORTATION AND STORAGE"
"HTTBT","TECHNOLOGY"
"HUBVC","VENTURE CAPITAL INVESTMENT TRUSTS"
"HUNER","ELECTRICITY GAS AND WATER"
"HURGZ","INFORMATION AND COMMUNICATION"
"ICBCT","BANKS"
"ICUGS","VENTURE CAPITAL INVESTMENT TRUSTS"
"IDGYO","REAL ESTATE INVESTMENT TRUSTS"
"IEYHO","HOLDING AND INVESTMENT COMPANIES"
"IHAAS","INFORMATION AND COMMUNICATION"
"IHEVA","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"IHGZT","INFORMATION AND COMMUNICATION"
"IHLAS","HOLDING AND INVESTMENT COMPANIES"
"IHLGM","REAL ESTATE ACTIVITIES"
"IHYAY","HOLDING AND INVESTMENT COMPANIES"
"IMASM","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"INDES","TECHNOLOGY"
"INFO","BROKERAGE HOUSES"
"INGRM","TECHNOLOGY"
"INTEK","TECHNOLOGY"
"INTEM","WHOLESALE AND RETAIL TRADE"
"INVEO","HOLDING AND INVESTMENT COMPANIES"
"INVES","HOLDING AND INVESTMENT COMPANIES"
"IPEKE","MINING AND QUARRYING"
"ISBIR","HOLDING AND INVESTMENT COMPANIES"
"ISCTR","BANKS"
"ISDMR","BASIC METAL"
"ISFIN","FINANCIAL LEASING AND FACTORING COMPANIES"
"ISGSY","VENTURE CAPITAL INVESTMENT TRUSTS"
"ISGYO","REAL ESTATE INVESTMENT TRUSTS"
"ISKPL","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"ISMEN","BROKERAGE HOUSES"
"ISSEN","TEXTILE, WEARING APPAREL AND LEATHER"
"ISYAT","INVESTMENT TRUSTS"
"IZENR","ELECTRICITY GAS AND WATER"
"IZFAS","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"IZINV","AGRICULTURE, FORESTRY AND FISHING"
"IZMDC","BASIC METAL"
"JANTS","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"KAPLM","PAPER AND PAPER PRODUCTS PRINTING"
"KAREL","TECHNOLOGY"
"KARSN","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"KARTN","PAPER AND PAPER PRODUCTS PRINTING"
"KATMR","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"KAYSE","FOOD, BEVERAGE AND TOBACCO"
"KBORU","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"KCAER","BASIC METAL"
"KCHOL","HOLDING AND INVESTMENT COMPANIES"
"KENT","FOOD, BEVERAGE AND TOBACCO"
"KERVN","HOLDING AND INVESTMENT COMPANIES"
"KERVT","FOOD, BEVERAGE AND TOBACCO"
"KFEIN","TECHNOLOGY"
"KGYO","REAL ESTATE INVESTMENT TRUSTS"
"KIMMR","WHOLESALE AND RETAIL TRADE"
"KLGYO","REAL ESTATE INVESTMENT TRUSTS"
"KLKIM","NON-METALLIC MINERAL PRODUCTS"
"KLMSN","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"KLNMA","BANKS"
"KLRHO","HOLDING AND INVESTMENT COMPANIES"
"KLSER","NON-METALLIC MINERAL PRODUCTS"
"KLSYN","WOOD PRODUCTS INCLUDING FURNITURE"
"KMPUR","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"KNFRT","AGRICULTURE, FORESTRY AND FISHING"
"KOCMT","BASIC METAL"
"KONKA","PAPER AND PAPER PRODUCTS PRINTING"
"KONTR","PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
"KONYA","NON-METALLIC MINERAL PRODUCTS"
"KOPOL","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"KORDS","TEXTILE, WEARING APPAREL AND LEATHER"
"KOTON","WHOLESALE AND RETAIL TRADE"
"KOZAA","MINING AND QUARRYING"
"KOZAL","MINING AND QUARRYING"
"KRDMD","BASIC METAL"
"KRGYO","REAL ESTATE INVESTMENT TRUSTS"
"KRONT","TECHNOLOGY"
"KRPLS","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"KRSTL","FOOD, BEVERAGE AND TOBACCO"
"KRTEK","TEXTILE, WEARING APPAREL AND LEATHER"
"KRVGD","FOOD, BEVERAGE AND TOBACCO"
"KSTUR","HOTELS AND RESTAURANTS"
"KTLEV","FINANCING COMPANIES"
"KTSKR","FOOD, BEVERAGE AND TOBACCO"
"KUTPO","NON-METALLIC MINERAL PRODUCTS"
"KUVVA","WHOLESALE AND RETAIL TRADE"
"KUYAS","CONSTRUCTION AND PUBLIC WORKS"
"KZBGY","REAL ESTATE INVESTMENT TRUSTS"
"KZGYO","REAL ESTATE INVESTMENT TRUSTS"
"LIDER","ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES"
"LIDFA","FINANCIAL LEASING AND FACTORING COMPANIES"
"LILAK","PAPER AND PAPER PRODUCTS PRINTING"
"LINK","TECHNOLOGY"
"LKMNH","EDUCATION HEALTH SPORTS AND ENTERTAINMENT SERVICES"
"LMKDC","NON-METALLIC MINERAL PRODUCTS"
