"stock","subsector"
"AGROT","CROP AND ANIMAL PRODUCTION HUNTING AND RELATED SERVICE ACTIVITIES"
"IZINV","CROP AND ANIMAL PRODUCTION HUNTING AND RELATED SERVICE ACTIVITIES"
"KNFRT","CROP AND ANIMAL PRODUCTION HUNTING AND RELATED SERVICE ACTIVITIES"
"YAPRK","CROP AND ANIMAL PRODUCTION HUNTING AND RELATED SERVICE ACTIVITIES"
"OZSUB","FISHING AND FISHERIES"
"PRKME","MINING OF COAL AND LIGNITE"
"IPEKE","EXTRACTION OF CRUDE PETROLEUM AND NATURAL GAS"
"CVKMD","MINING OF METAL ORES"
"KOZAL","MINING OF METAL ORES"
"KOZAA","MINING OF METAL ORES"
"AVOD","FOOD, BEVERAGE AND TOBACCO"
"ALKLC","FOOD, BEVERAGE AND TOBACCO"
"AEFES","FOOD, BEVERAGE AND TOBACCO"
"ARMGD","FOOD, BEVERAGE AND TOBACCO"
"ATAKP","FOOD, BEVERAGE AND TOBACCO"
"BANVT","FOOD, BEVERAGE AND TOBACCO"
"KERVT","FOOD, BEVERAGE AND TOBACCO"
"BORSK","FOOD, BEVERAGE AND TOBACCO"
"CEMZY","FOOD, BEVERAGE AND TOBACCO"
"CCOLA","FOOD, BEVERAGE AND TOBACCO"
"DARDL","FOOD, BEVERAGE AND TOBACCO"
"DMRGD","FOOD, BEVERAGE AND TOBACCO"
"DURKN","FOOD, BEVERAGE AND TOBACCO"
"EFORC","FOOD, BEVERAGE AND TOBACCO"
"EKIZ","FOOD, BEVERAGE AND TOBACCO"
"EKSUN","FOOD, BEVERAGE AND TOBACCO"
"ELITE","FOOD, BEVERAGE AND TOBACCO"
"ERSU","FOOD, BEVERAGE AND TOBACCO"
"FADE","FOOD, BEVERAGE AND TOBACCO"
"FRIGO","FOOD, BEVERAGE AND TOBACCO"
"GOKNR","FOOD, BEVERAGE AND TOBACCO"
"GUNDG","FOOD, BEVERAGE AND TOBACCO"
"KAYSE","FOOD, BEVERAGE AND TOBACCO"
"KENT","FOOD, BEVERAGE AND TOBACCO"
"KRVGD","FOOD, BEVERAGE AND TOBACCO"
"KRSTL","FOOD, BEVERAGE AND TOBACCO"
"KTSKR","FOOD, BEVERAGE AND TOBACCO"
